"reef","country","year","season","complex","total","disease","SEB","BB","BrB","WS","GA","AN","plastic"
"10","Myanmar",2016,"Spring","Branching",147,12,0,7,0,3,2,0,0
"11","Myanmar",2016,"Spring","Branching",197,23,3,13,1,2,2,2,0
"12","Myanmar",2016,"Spring","Branching",232,0,0,0,0,0,0,0,0
"13","Myanmar",2016,"Spring","Branching",6,0,0,0,0,0,0,0,0
"15a-b","Myanmar",2016,"Spring","Branching",3,0,0,0,0,0,0,0,0
"16","Myanmar",2016,"Spring","Branching",5,0,0,0,0,0,0,0,0
"17","Myanmar",2016,"Spring","Branching",7,0,0,0,0,0,0,0,0
"18","Myanmar",2016,"Spring","Branching",19,5,2,0,0,3,0,0,3
"2","Myanmar",2016,"Spring","Branching",4,0,0,0,0,0,0,0,0
"20","Myanmar",2016,"Spring","Branching",1,0,0,0,0,0,0,0,0
"21a-b","Myanmar",2016,"Spring","Branching",125,0,0,0,0,0,0,0,0
"27a-b","Myanmar",2016,"Spring","Branching",51,14,0,0,2,12,0,0,6
"28","Myanmar",2016,"Spring","Branching",5,0,0,0,0,0,0,0,0
"3","Myanmar",2016,"Spring","Branching",16,0,0,0,0,0,0,0,0
"4","Myanmar",2016,"Spring","Branching",1,0,0,0,0,0,0,0,0
"6","Myanmar",2016,"Spring","Branching",97,0,0,0,0,0,0,0,0
"7","Myanmar",2016,"Spring","Branching",3,0,0,0,0,0,0,0,0
"9","Myanmar",2016,"Spring","Branching",115,18,1,9,0,8,0,0,0
"10","Myanmar",2016,"Spring","Massive",5,2,0,0,0,2,0,0,0
"11","Myanmar",2016,"Spring","Massive",18,8,0,0,0,2,0,6,0
"12","Myanmar",2016,"Spring","Massive",5,0,0,0,0,0,0,0,0
"13","Myanmar",2016,"Spring","Massive",30,7,0,0,0,6,1,0,0
"15a-b","Myanmar",2016,"Spring","Massive",89,18,0,0,0,18,0,0,0
"16","Myanmar",2016,"Spring","Massive",99,4,0,0,0,3,0,1,0
"17","Myanmar",2016,"Spring","Massive",50,3,0,0,0,2,1,0,0
"18","Myanmar",2016,"Spring","Massive",61,1,0,0,0,1,0,0,0
"19","Myanmar",2016,"Spring","Massive",51,4,0,0,0,3,1,0,0
"2","Myanmar",2016,"Spring","Massive",16,0,0,0,0,0,0,0,0
"20","Myanmar",2016,"Spring","Massive",48,1,0,0,0,1,0,0,0
"21a-b","Myanmar",2016,"Spring","Massive",141,2,0,0,0,2,0,0,0
"27a-b","Myanmar",2016,"Spring","Massive",112,16,0,0,0,14,1,1,0
"28","Myanmar",2016,"Spring","Massive",54,7,0,0,0,7,0,0,0
"3","Myanmar",2016,"Spring","Massive",23,1,0,0,0,0,1,0,0
"4","Myanmar",2016,"Spring","Massive",4,0,0,0,0,0,0,0,0
"6","Myanmar",2016,"Spring","Massive",66,2,0,0,0,2,0,0,0
"7","Myanmar",2016,"Spring","Massive",82,6,0,0,0,4,2,0,0
"9","Myanmar",2016,"Spring","Massive",31,0,0,0,0,0,0,0,0
"10","Myanmar",2016,"Spring","Tabular",3,0,0,0,0,0,0,0,0
"11","Myanmar",2016,"Spring","Tabular",1,0,0,0,0,0,0,0,0
"12","Myanmar",2016,"Spring","Tabular",6,0,0,0,0,0,0,0,0
"13","Myanmar",2016,"Spring","Tabular",1,1,0,0,0,1,0,0,0
"15a-b","Myanmar",2016,"Spring","Tabular",8,0,0,0,0,0,0,0,0
"16","Myanmar",2016,"Spring","Tabular",15,1,0,0,0,1,0,0,0
"17","Myanmar",2016,"Spring","Tabular",6,0,0,0,0,0,0,0,0
"18","Myanmar",2016,"Spring","Tabular",4,2,0,0,0,2,0,0,0
"19","Myanmar",2016,"Spring","Tabular",2,1,0,0,0,1,0,0,0
"2","Myanmar",2016,"Spring","Tabular",1,0,0,0,0,0,0,0,0
"20","Myanmar",2016,"Spring","Tabular",8,0,0,0,0,0,0,0,0
"21a-b","Myanmar",2016,"Spring","Tabular",4,0,0,0,0,0,0,0,0
"27a-b","Myanmar",2016,"Spring","Tabular",1,1,0,0,0,0,1,0,0
"3","Myanmar",2016,"Spring","Tabular",3,1,0,0,0,0,1,0,0
"6","Myanmar",2016,"Spring","Tabular",2,0,0,0,0,0,0,0,0
"7","Myanmar",2016,"Spring","Tabular",6,0,0,0,0,0,0,0,0
"9","Myanmar",2016,"Spring","Tabular",4,2,0,0,0,2,0,0,1
"B1","Australia",2012,"Summer","Branching",1864,72,30,9,16,2,15,0,0
"B2","Australia",2012,"Summer","Branching",27,0,0,0,0,0,0,0,0
"B3","Australia",2012,"Summer","Branching",77,0,0,0,0,0,0,0,0
"B4","Australia",2012,"Summer","Branching",134,0,0,0,0,0,0,0,0
"B5","Australia",2012,"Summer","Branching",1,0,0,0,0,0,0,0,0
"B6","Australia",2012,"Summer","Branching",148,0,0,0,0,0,0,0,0
"BL1","Australia",2012,"Summer","Branching",56,4,2,0,0,2,0,0,0
"BL2","Australia",2012,"Summer","Branching",70,2,2,0,0,0,0,0,0
"C1","Australia",2012,"Summer","Branching",146,1,1,0,0,0,0,0,0
"C2","Australia",2012,"Summer","Branching",386,1,1,0,0,0,0,0,0
"C3","Australia",2012,"Summer","Branching",2548,17,17,0,0,0,0,0,0
"C4","Australia",2012,"Summer","Branching",216,14,7,1,0,5,1,0,3
"C6","Australia",2012,"Summer","Branching",57,12,11,0,1,0,0,0,0
"D1","Australia",2012,"Summer","Branching",93,10,9,1,0,0,0,0,0
"DU1","Australia",2012,"Summer","Branching",327,4,4,0,0,0,0,0,0
"DU2","Australia",2012,"Summer","Branching",218,3,3,0,0,0,0,0,0
"E1","Australia",2012,"Summer","Branching",66,0,0,0,0,0,0,0,0
"HB1","Australia",2012,"Summer","Branching",251,9,6,1,0,2,0,0,0
"HB2","Australia",2012,"Summer","Branching",233,24,17,2,1,4,0,0,0
"HB3","Australia",2012,"Summer","Branching",309,15,8,7,0,0,0,0,0
"HB4","Australia",2012,"Summer","Branching",70,4,2,0,1,1,0,0,0
"HB5","Australia",2012,"Summer","Branching",442,11,8,0,3,0,0,0,0
"HB7","Australia",2012,"Summer","Branching",8002,125,65,29,9,22,0,0,41
